time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1977-09-26T17:19:17.400Z,36.46,-89.62,10.5,2.1,mlg,,,,,nm,nm600617,2016-04-14T13:30:54.910Z,"8km ENE of Portageville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-09-28T20:27:29.200Z,36.63,-90.65,10,2.2,mlg,,,,,nm,nm600618,2016-04-14T13:31:00.980Z,"15km E of Doniphan, Missouri",earthquake,,,,,reviewed,nm,nm
1977-10-01T01:25:13.400Z,36.23,-89.43,7,2.1,mlg,,,,,nm,nm600620,2016-04-14T13:31:13.130Z,"6km SE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-10-04T05:36:20.900Z,36.24,-89.35,5,3,mlg,,,,,nm,nm600621,2016-04-14T13:31:19.210Z,"12km ESE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-10-13T05:24:57.900Z,36.06,-89.81,10,2.2,mlg,,,,,nm,nm600624,2016-04-14T13:31:37.440Z,"3km SSE of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1977-10-25T19:22:29.700Z,36.45,-89.47,5,2.3,mlg,,,,,nm,nm600627,2016-04-14T13:31:55.670Z,"7km N of Tiptonville, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-11-05T16:23:30.500Z,36.08,-89.8,10.8,2.3,mlg,,,,,nm,nm600629,2016-04-14T13:32:07.830Z,"2km E of Steele, Missouri",earthquake,,,,,reviewed,nm,nm
1977-11-09T06:21:45.700Z,36.61,-89.59,10.3,2.8,mlg,,,,,nm,nm600630,2016-04-14T13:32:13.900Z,"3km NE of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
1977-11-09T18:24:05.200Z,35.96,-89.89,5,2.4,mlg,,,,,nm,nm600631,2016-04-14T13:32:19.970Z,"4km NE of Blytheville, Arkansas",earthquake,,,,,reviewed,nm,nm
1977-11-12T17:16:13.500Z,36.27,-89.45,10,2.1,mlg,,,,,nm,nm600632,2016-04-14T13:32:26.050Z,"3km ENE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-11-20T07:39:10.700Z,36.74,-90.83,5,2.4,mlg,,,,,nm,nm600633,2016-04-14T13:32:32.130Z,"13km N of Doniphan, Missouri",earthquake,,,,,reviewed,nm,nm
1977-11-22T06:42:50.900Z,36.48,-89.58,9.1,2.1,mlg,,,,,nm,nm600634,2016-04-14T13:32:38.210Z,"12km ENE of Portageville, Missouri",earthquake,,,,,reviewed,nm,nm
1977-12-09T09:10:52.300Z,36.45,-89.53,5,2.1,mlg,,,,,nm,nm600640,2016-04-14T13:33:14.780Z,"9km NNW of Tiptonville, Tennessee",earthquake,,,,,reviewed,nm,nm
1977-12-24T00:00:28.800Z,36.17,-89.66,10,2.3,mlg,,,,,nm,nm600643,2016-04-14T13:33:33.020Z,"2km S of Caruthersville, Missouri",earthquake,,,,,reviewed,nm,nm
1978-01-02T08:20:47.300Z,36.25,-89.56,5,2.1,mlg,,,,,nm,nm600647,2016-04-14T13:33:57.350Z,"6km WSW of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1978-01-11T16:51:14.200Z,36.21,-89.48,5,2.1,mlg,,,,,nm,nm600652,2016-04-14T13:34:27.750Z,"5km S of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
1978-01-11T21:43:16.000Z,36.53,-89.66,15.4,2.2,mlg,,,,,nm,nm600653,2016-04-14T13:34:33.830Z,"7km SSW of Lilbourn, Missouri",earthquake,,,,,reviewed,nm,nm
1978-01-18T23:46:26.100Z,36.25,-89.42,5,2.6,mlg,,,,,nm,nm600655,2016-04-14T13:34:45.990Z,"6km ESE of Ridgely, Tennessee",earthquake,,,,,reviewed,nm,nm
